,O,B-OUT_OF_TOPIC,B-PLACE_NEGATIVE,B-PLACE_NEUTRAL,B-PLACE_POSITIVE,B-PRICE_NEGATIVE,B-PRICE_NEUTRAL,B-PRICE_POSITIVE,B-PRODUCT_NEGATIVE,B-PRODUCT_NEUTRAL,B-PRODUCT_POSITIVE,B-PROMOTION_NEGATIVE,B-PROMOTION_NEUTRAL,B-PROMOTION_POSITIVE,I-OUT_OF_TOPIC,I-PLACE_NEGATIVE,I-PLACE_NEUTRAL,I-PLACE_POSITIVE,I-PRICE_NEGATIVE,I-PRICE_NEUTRAL,I-PRICE_POSITIVE,I-PRODUCT_NEGATIVE,I-PRODUCT_NEUTRAL,I-PRODUCT_POSITIVE,I-PROMOTION_NEGATIVE,I-PROMOTION_NEUTRAL,I-PROMOTION_POSITIVE
O,735,15,7,2,18,3,2,8,15,9,53,0,0,6,28,15,3,71,1,6,15,34,16,125,0,0,10
B-OUT_OF_TOPIC,1,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PLACE_NEGATIVE,1,0,7,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PLACE_NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PLACE_POSITIVE,16,8,0,1,97,0,0,2,0,1,12,0,0,0,1,0,1,12,0,0,0,0,0,1,0,0,0
B-PRICE_NEGATIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PRICE_NEUTRAL,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PRICE_POSITIVE,3,0,0,0,1,0,1,43,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0
B-PRODUCT_NEGATIVE,3,3,0,0,0,0,0,0,17,0,1,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0
B-PRODUCT_NEUTRAL,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
B-PRODUCT_POSITIVE,24,5,0,0,8,0,0,0,3,1,253,0,0,0,1,1,0,3,0,1,1,1,3,46,0,0,0
B-PROMOTION_NEGATIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PROMOTION_NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
B-PROMOTION_POSITIVE,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
I-OUT_OF_TOPIC,13,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,3,0,0,0,3,0,3,0,0,0
I-PLACE_NEGATIVE,40,0,5,0,1,0,0,0,1,0,0,0,0,0,0,18,0,4,0,0,0,5,0,0,0,0,0
I-PLACE_NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-PLACE_POSITIVE,90,0,1,0,15,1,0,1,0,1,3,0,0,0,29,0,4,172,0,0,2,1,1,28,0,0,0
I-PRICE_NEGATIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-PRICE_NEUTRAL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
I-PRICE_POSITIVE,6,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,57,0,0,1,0,0,3
I-PRODUCT_NEGATIVE,12,0,1,0,0,0,0,1,3,0,0,0,0,0,1,6,0,0,1,0,0,48,4,4,0,0,0
I-PRODUCT_NEUTRAL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,2,0,0,0
I-PRODUCT_POSITIVE,154,2,0,0,6,0,0,2,1,4,54,0,0,2,17,0,0,23,0,0,0,7,15,444,0,0,2
I-PROMOTION_NEGATIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-PROMOTION_NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,4
I-PROMOTION_POSITIVE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3
